,Titulo,Final_score,Criteria_scores,Out_degrees,In_degrees,Clustering_coefficient,ASP,ASPW
0,[redação sem título],300.0,"{'Competência 1': 100.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.2926829268292683,1.2926829268292683,0.0019541231126596987,9.022884673291177,10.898675097862089
1,[redação sem título],300.0,"{'Competência 1': 100.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.1808510638297873,1.1808510638297873,0.0072230665315771705,10.999771219400595,11.106039807824297
2,[redação sem título],400.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 50.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.2429906542056075,1.2429906542056075,0.004368788013647827,10.36598483512608,10.7957150414389
3,[redação sem título],200.0,"{'Competência 1': 0.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.404040404040404,1.404040404040404,0.008402478153817908,8.044423830138117,8.755411255411255
4,[redação sem título],850.0,"{'Competência 1': 200.0, 'Competência 2': 150.0, 'Competência 3': 150.0, 'Competência 4': 200.0, 'Competência 5': 150.0}",1.2816901408450705,1.2816901408450705,0.0,8.112476276096293,8.56707621616222
5,[redação sem título],300.0,"{'Competência 1': 100.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.271186440677966,1.271186440677966,0.026694915254237287,8.874926943308006,8.874926943308006
6,[redação sem título],400.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 100.0}",1.1397849462365592,1.1397849462365592,0.006630824372759857,13.383941093969144,13.383941093969144
7,[redação sem título],350.0,"{'Competência 1': 50.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.3082706766917294,1.3082706766917294,0.011427718764245774,10.0715994531784,10.216735019366599
8,[redação sem título],450.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.0925925925925926,1.0925925925925926,0.0,17.85790931118034,17.85790931118034
9,[redação sem título],250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.48,1.48,0.004832217304794294,6.982702702702703,7.500900900900901
10,Título: Unidos por uma causa,300.0,"{'Competência 1': 100.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.1126760563380282,1.1126760563380282,0.015258215962441313,14.083702213279677,14.083702213279677
11,Título: Uma violência silenciosa,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.3225806451612903,1.3225806451612903,0.014510964046387312,9.677886863020102,9.853553062178587
12,Título: Um lugar melhor para todos,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.2073170731707317,1.2073170731707317,0.0,10.656579343571213,10.937368262571514
13,Título: Um grande mal na fase escolar,500.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 100.0}",1.1487603305785123,1.1487603305785123,0.002754820936639118,13.915151515151516,14.141184573002755
14,Título: Um fim ao bullying,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.3484848484848484,1.3484848484848484,0.010506854256854256,7.469230769230769,7.975757575757576
15,Título: Um caminho difícil,500.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 100.0}",1.3525179856115108,1.3525179856115108,0.00883759841067679,8.105046397664477,8.15478052340736
16,[redação sem título],400.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 50.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.1904761904761905,1.1904761904761905,0.02172619047619048,14.819575135443399,14.819575135443399
17,Título: Sofrendo desde a infância,300.0,"{'Competência 1': 100.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.32,1.32,0.016638576510968298,8.000720720720722,8.027387387387387
18,Título: Todos contra o bullying,400.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.4166666666666667,1.4166666666666667,0.007958553791887125,7.281498788508134,7.429733471789547
19,Título: Socialização no ambiente escolar,450.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.3,1.3,0.012605733082706768,7.9372727272727275,8.024949494949494
20,Título: São vários os caminhos para o combate!!,500.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 100.0}",1.2894736842105263,1.2894736842105263,0.01739766081871345,8.492159602546188,8.492159602546188
21,Título: Sociedade saudável é sociedade consciente,400.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.2338709677419355,1.2338709677419355,0.004066858269589202,11.116706005769736,11.138539207972725
22,Título: Uso de armas químicas e biológicas: a autodestruição da humanidade,220.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 20.0}",1.4,1.4,0.007055860805860807,7.5033653846153845,8.30048076923077
23,Título: Uma triste realidade,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.2183908045977012,1.2183908045977012,0.0024979627938744244,10.231889869018978,10.782812082330928
24,Título: Vivemos no reflexo do passado,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.135135135135135,1.135135135135135,0.0,14.529320229320229,14.529320229320229
25,Título: Uma barbárie,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.402061855670103,1.402061855670103,0.0031454718959727356,8.248603951890034,9.114153780068728
26,"Título: Uma arma é destrutiva,  mas o ser humano pode ser muito pior",400.0,"{'Competência 1': 50.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.3596491228070176,1.3596491228070176,0.02559903546745652,8.749883558453655,8.749883558453655
27,Título: Uma ameaça contra a humanidade,500.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 100.0}",1.2774193548387096,1.2774193548387096,0.0012738435251495644,10.77553414327608,11.627188940092166
28,Título: Um mundo sem paz,450.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.330188679245283,1.330188679245283,0.004872965957871619,8.953009883198563,9.378796046720575
29,Título: Quando o poder fala mais alto,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.2916666666666667,1.2916666666666667,0.008697089947089946,6.327856025039123,6.46283255086072
30,Título: Uma guerra silenciosa,750.0,"{'Competência 1': 150.0, 'Competência 2': 150.0, 'Competência 3': 150.0, 'Competência 4': 150.0, 'Competência 5': 150.0}",1.2435897435897436,1.2435897435897436,0.0020426872371398833,12.214640198511166,12.462200165425973
31,Título: previnir sempre,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.3076923076923077,1.3076923076923077,0.0028372698854683214,8.247596153846153,9.4875
32,Título: O uso de armas químicas e biológicas é viável?,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.196969696969697,1.196969696969697,0.009019324158910226,12.484615384615385,13.343822843822844
33,Título: A nova reforma do ensino médio,250.0,"{'Competência 1': 50.0, 'Competência 2': 50.0, 'Competência 3': 50.0, 'Competência 4': 50.0, 'Competência 5': 50.0}",1.4861111111111112,1.4861111111111112,0.0033391250706607365,7.106220657276995,7.833920187793427
34,[redação sem título],500.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 100.0}",1.2678571428571428,1.2678571428571428,0.0003002763605442177,11.259813384813384,13.183397683397683
35,Título: Utopia do Ensino Médio,450.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.4895833333333333,1.4895833333333333,0.006138674592572735,8.217214912280701,9.256798245614036
36,Título: Valorize os professores e a mudança ocorre naturalmente,400.0,"{'Competência 1': 50.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 50.0}",1.4864864864864864,1.4864864864864864,0.01642800751412037,7.066420966420966,7.531367731367731
37,Título: Uma reforma positiva ou contraditória?,500.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 100.0}",1.432,1.432,0.007228483798862238,7.912193548387097,8.345870967741936
38,Título: Uma revolução para a educação brasileira,550.0,"{'Competência 1': 100.0, 'Competência 2': 100.0, 'Competência 3': 100.0, 'Competência 4': 100.0, 'Competência 5': 150.0}",1.3125,1.3125,0.0019488101039636131,9.324106449106448,9.99791181041181
